编号	开挖深度	是否加支撑	是否拆支撑	拆除支撑编号	是否浇筑顶板	顶板标高	顶板厚度	回筑深度
1	3.0	False	False	-1	False	0.0	0.0	0.0
2	0.0	True	False	-1	False	0.0	0.0	0.0
3	3.0	False	False	-1	False	0.0	0.0	0.0
4	0.0	True	False	-1	False	0.0	0.0	0.0
5	3.0	False	False	-1	False	0.0	0.0	0.0
6	0.0	True	False	-1	False	0.0	0.0	0.0
7	3.0	False	False	-1	False	0.0	0.0	0.0
8	0.0	False	False	-1	True	-9.0	0.2	0.0
9	0.0	False	True	2	False	0.0	0.0	0.0
10	0.0	False	False	-1	False	0.0	0.0	-3.0
11	0.0	False	False	-1	True	-6.0	0.2	0.0
12	0.0	False	True	1	False	0.0	0.0	0.0
13	0.0	False	False	-1	False	0.0	0.0	-3.0
14	0.0	False	False	-1	True	-3.0	0.2	0.0
15	0.0	False	True	0	False	0.0	0.0	0.0
16	0.0	False	False	-1	False	0.0	0.0	-3.0
