==============================================
        支撑轴力迭代中间数据
        导出时间：2026/9/7 16:03:24
==============================================


LC  Iter   Obj(mm)     F1 (N)        F2 (N)        F3 (N)        F4 (N)        F5 (N)        F6 (N)      maxM (N*m)    minM (N*m)     maxQ (N)      minQ (N)
--  ----   -------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
 5     1    1.0639  -2.2264e+005   6.6538e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0114e+006  -3.3476e+005   3.6063e+005  -3.0206e+005
 5     2    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     3    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     4    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     5    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     6    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     7    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     8    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5     9    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5    10    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5    11    1.0567  -2.1190e+005   6.4652e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.6847e+005  -3.3036e+005   3.5250e+005  -2.9131e+005
 5    12    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    13    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    14    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    15    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    16    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    17    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    18    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    19    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    20    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    21    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    22    1.0314  -2.1897e+005   6.5893e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9674e+005  -3.3325e+005   3.5785e+005  -2.9838e+005
 5    23    1.0285  -2.1978e+005   6.6035e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9997e+005  -3.3358e+005   3.5846e+005  -2.9919e+005
 5    24    1.0285  -2.1978e+005   6.6035e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9997e+005  -3.3358e+005   3.5846e+005  -2.9919e+005
 5    25    1.0285  -2.1978e+005   6.6035e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.9997e+005  -3.3358e+005   3.5846e+005  -2.9919e+005
 5    26    1.0277  -2.2000e+005   6.6074e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0009e+006  -3.3367e+005   3.5863e+005  -2.9941e+005
 5    27    1.0277  -2.2000e+005   6.6074e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0009e+006  -3.3367e+005   3.5863e+005  -2.9941e+005
 5    28    1.0277  -2.2000e+005   6.6074e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0009e+006  -3.3367e+005   3.5863e+005  -2.9941e+005
 5    29    1.0277  -2.2000e+005   6.6074e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0009e+006  -3.3367e+005   3.5863e+005  -2.9941e+005
 5    30    1.0277  -2.2000e+005   6.6074e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0009e+006  -3.3367e+005   3.5863e+005  -2.9941e+005
 6    31    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    32    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    33    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    34    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    35    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    36    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    37    3.8588  -1.8219e+005   7.1870e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.4961e+005  -7.0127e+005   4.5440e+005  -2.6160e+005
 6    38    3.2126  -2.5310e+005   8.2999e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1333e+006  -6.7745e+005   4.9477e+005  -3.3252e+005
 6    39    3.2126  -2.5310e+005   8.2999e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1333e+006  -6.7745e+005   4.9477e+005  -3.3252e+005
 6    40    3.2038  -2.5417e+005   8.3167e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1376e+006  -6.7717e+005   4.9538e+005  -3.3359e+005
 6    41    3.2038  -2.5417e+005   8.3167e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1376e+006  -6.7717e+005   4.9538e+005  -3.3359e+005
 6    42    3.2033  -2.5423e+005   8.3176e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1378e+006  -6.7716e+005   4.9542e+005  -3.3365e+005
 6    43    3.1985  -2.5482e+005   8.3268e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1401e+006  -6.7702e+005   4.9575e+005  -3.3423e+005
 6    44    3.1952  -2.5522e+005   8.3331e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3463e+005
 6    45    3.1952  -2.5522e+005   8.3331e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3463e+005
 6    46    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    47    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    48    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    49    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    50    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    51    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    52    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    53    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9598e+005  -3.3464e+005
 6    54    3.1952  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3464e+005
 6    55    3.1951  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3465e+005
 6    56    3.1951  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3465e+005
 6    57    3.1951  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3465e+005
 6    58    3.1951  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3465e+005
 6    59    3.1951  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3465e+005
 6    60    3.1951  -2.5523e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1418e+006  -6.7695e+005   4.9599e+005  -3.3465e+005
 7    61    1.7059  -9.7723e+004   1.6667e+005   6.9581e+005   0.0000e+000   0.0000e+000   0.0000e+000   8.7063e+005  -4.3873e+005   4.7063e+005  -2.1693e+005
 7    62    1.7059  -9.7723e+004   1.6667e+005   6.9581e+005   0.0000e+000   0.0000e+000   0.0000e+000   8.7063e+005  -4.3873e+005   4.7063e+005  -2.1693e+005
 7    63    1.5943  -1.1649e+005   1.6667e+005   7.4468e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0077e+006  -4.5129e+005   5.0072e+005  -2.3570e+005
 7    64    1.5943  -1.1649e+005   1.6667e+005   7.4468e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0077e+006  -4.5129e+005   5.0072e+005  -2.3570e+005
 7    65    1.5943  -1.1649e+005   1.6667e+005   7.4468e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0077e+006  -4.5129e+005   5.0072e+005  -2.3570e+005
