土层编号	厚度	c	phi	K0	Es	m	重度	土性
1		2.2	2	20	0.66	4.85	2.12	18	杂填土
2		1.3	17	19.5	0.67	4.94	4.62	18.7	杂填土
3		1.4	12	16	0.72	2.73	3.75	17.5	杂填土
4		2.1	8	29.5	0.51	8.33	6.5	18.5	杂填土
5		2.1	12	16	0.72	2.73	3.75	17.5	杂填土
6		2.9	7	29.5	0.51	8.59	6.5	18.6	杂填土
7		6.6	14	12.5	0.78	2.51	2.88	16.9	杂填土
8		8.1	16	12	0.79	2.85	4.8	17.2	杂填土
9		2.9	40	14	0.76	6.08	6.86	19.8	杂填土
10		7.6	12	28	0.53	8.27	6.3	19.3	杂填土
11		2.4	7	30.5	0.49	10.34	10.5	19.1	杂填土
12		7.4	5	30.5	0.49	12.37	12.6	19.4	杂填土
13		12.9	23	16.5	0.72	4.38	8.5	17.7	杂填土
