==============================================
        支撑轴力迭代中间数据
        导出时间：2023/3/13 11:04:38
==============================================


LC  Iter   Obj(mm)     F1 (N)        F2 (N)        F3 (N)        F4 (N)        F5 (N)        F6 (N)      maxM (N*m)    minM (N*m)     maxQ (N)      minQ (N)
--  ----   -------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
 5     1    2.6948  -2.0887e+005   6.2923e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0656e+006  -3.7633e+005   3.6066e+005  -2.6409e+005
 5     2    2.6948  -2.0887e+005   6.2923e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0656e+006  -3.7633e+005   3.6066e+005  -2.6409e+005
 5     3    2.6878  -2.1054e+005   6.3266e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0736e+006  -3.7761e+005   3.6241e+005  -2.6577e+005
 5     4    2.6878  -2.1054e+005   6.3266e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0736e+006  -3.7761e+005   3.6241e+005  -2.6577e+005
 5     5    2.6878  -2.1054e+005   6.3266e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0736e+006  -3.7761e+005   3.6241e+005  -2.6577e+005
 5     6    2.6878  -2.1054e+005   6.3266e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0736e+006  -3.7761e+005   3.6241e+005  -2.6577e+005
 5     7    2.6577  -2.1806e+005   6.4803e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1097e+006  -3.8335e+005   3.7026e+005  -2.7328e+005
 5     8    2.6577  -2.1806e+005   6.4803e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1097e+006  -3.8335e+005   3.7026e+005  -2.7328e+005
 5     9    2.6577  -2.1806e+005   6.4803e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1097e+006  -3.8335e+005   3.7026e+005  -2.7328e+005
 5    10    2.6577  -2.1806e+005   6.4803e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1097e+006  -3.8335e+005   3.7026e+005  -2.7328e+005
 5    11    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    12    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    13    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    14    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    15    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    16    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    17    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    18    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    19    2.6356  -2.2457e+005   6.6135e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1410e+006  -3.8833e+005   3.7707e+005  -2.7980e+005
 5    20    2.6355  -2.2386e+005   6.5988e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.1375e+006  -3.8778e+005   3.7632e+005  -2.7908e+005
 6    21    9.2906  -1.6543e+005   6.6442e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.5710e+005  -7.7954e+005   4.3928e+005  -2.2066e+005
 6    22    9.2906  -1.6543e+005   6.6442e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.5710e+005  -7.7954e+005   4.3928e+005  -2.2066e+005
 6    23    9.2217  -1.6934e+005   6.7101e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.7585e+005  -7.7821e+005   4.4197e+005  -2.2456e+005
 6    24    9.2217  -1.6934e+005   6.7101e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   8.7585e+005  -7.7821e+005   4.4197e+005  -2.2456e+005
 6    25    9.0505  -1.7909e+005   6.8747e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.2265e+005  -7.7497e+005   4.4868e+005  -2.3431e+005
 6    26    9.0505  -1.7909e+005   6.8747e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.2265e+005  -7.7497e+005   4.4868e+005  -2.3431e+005
 6    27    8.8247  -1.9240e+005   7.0994e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   9.8653e+005  -7.7102e+005   4.5784e+005  -2.4762e+005
