Stage	LinearUx_mm	NonlinearUx_mm	UxDelta_mm	UxRatio_NL_to_L	LinearPreAvgK	NonlinearPreAvgK	PreKRatio_NL_to_L	LinearPostAvgK	NonlinearPostAvgK	PostKRatio_NL_to_L
1	3.4182307175356625E-06	3.4182307174369463E-06	-9.8716184288331552E-17	0.99999999997112066	27653933.914841738	15214484.73686593	0.55017433627048584	27653933.914841738	15214484.73686593	0.55017433627048584
2	1.4257046312482942	27.167399354356778	25.741694723108484	19.055419165307761	27480603.580701813	15242430.125063911	0.55466140255259422	27480603.580701813	9257975.9908932652	0.3368912900222707
3	1.4257046312430832	27.168497005186222	25.742792373943139	19.056189065962275	27480603.580701813	9257975.9908932652	0.3368912900222707	27480603.580701813	9257601.316529775	0.33687765588347202
4	4.4157540164750868	41.375316673495689	36.959562657020605	9.3699324099859815	25482725.92790167	15162654.907016553	0.59501699111454109	25482725.92790167	8557181.5591293443	0.33580322542180913
5	4.4157540157786075	41.375415662517625	36.959661646739015	9.3699548287048575	25482725.92790167	8557181.5591293443	0.33580322542180913	25482725.92790167	8556814.5104069877	0.33578882159690454
6	7.3949847106257192	48.524803168900341	41.12981845827462	6.5618530757982407	24045135.404160582	15025018.138418593	0.62486727089999172	24045135.404160582	8515054.940800447	0.35412796799335422
7	7.3949847279226031	48.524792286889344	41.129807558966739	6.5618515889107067	24045135.404160582	8515054.940800447	0.35412796799335422	24045135.404160582	8515330.8026735783	0.35413944066208719
8	11.925156850981979	57.493045269267341	45.567888418285364	4.821156315820958	22864775.435897436	14981979.007322975	0.65524277941525022	22864775.435897436	8456942.8829560857	0.36986774292472524
9	11.925156837005911	57.493030367175734	45.56787353016982	4.8211550718364133	22864775.435897436	8456942.8829560857	0.36986774292472524	22864775.435897436	8456531.2956287451	0.36984974199012194
10	15.687583955974468	65.033183485426974	49.345599529452507	4.145519390872149	21563740.285714287	15139791.669106035	0.70209488096719286	21563740.285714287	7886130.1118019326	0.36571253443570717
11	15.687583937537497	65.033165282827539	49.345581345290043	4.1455182354253521	21563740.285714287	7886130.1118019326	0.36571253443570717	21563740.285714287	7882789.2106349301	0.36555760300346324
12	20.78908418436129	74.127811186550616	53.33872700218933	3.5657083558454055	19750979.186991882	15183274.709577445	0.76873528982184558	19750979.186991882	6488622.6481009517	0.32852156780026376
