Mode	UseNonlinear	InitCount	InitAvgK_N_per_m	InitMinK_N_per_m	InitMaxK_N_per_m
Linear	False	219	27653933.914841738	84800.000000000146	105814800.00000155

Stage	CurElev	MaxAbsUx_mm	PreActiveCount	PreAvgK_N_per_m	PreMinK_N_per_m	PreMaxK_N_per_m	PostActiveCount	PostAvgK_N_per_m	PostMinK_N_per_m	PostMaxK_N_per_m
1	4.2999999999999998	3.4182307175356625E-06	219	27653933.914841738	84800.000000000146	105814800.00000155	219	27653933.914841738	84800.000000000146	105814800.00000155
2	3.7999999999999998	1.4257046312482942	216	27480603.580701813	84800.000000000146	104554800.00000155	216	27480603.580701813	84800.000000000146	104554800.00000155
3	3.7999999999999998	1.4257046312430832	216	27480603.580701813	84800.000000000146	104554800.00000155	216	27480603.580701813	84800.000000000146	104554800.00000155
4	-0.90000000000000036	4.4157540164750868	190	25482725.92790167	259999.99999999988	92710800.000001386	190	25482725.92790167	259999.99999999988	92710800.000001386
5	-0.90000000000000036	4.4157540157786075	190	25482725.92790167	259999.99999999988	92710800.000001386	190	25482725.92790167	259999.99999999988	92710800.000001386
6	-4.1000000000000005	7.3949847106257192	173	24045135.404160582	150000.00000000026	84646800.000001267	173	24045135.404160582	150000.00000000026	84646800.000001267
7	-4.1000000000000005	7.3949847279226031	173	24045135.404160582	150000.00000000026	84646800.000001267	173	24045135.404160582	150000.00000000026	84646800.000001267
8	-7.1000000000000005	11.925156850981979	156	22864775.435897436	86400.000000074913	77086800.000001162	156	22864775.435897436	86400.000000074913	77086800.000001162
9	-7.1000000000000005	11.925156837005911	156	22864775.435897436	86400.000000074913	77086800.000001162	156	22864775.435897436	86400.000000074913	77086800.000001162
10	-10.100000000000001	15.687583955974468	140	21563740.285714287	115199.99999999917	69526800.000001058	140	21563740.285714287	115199.99999999917	69526800.000001058
11	-10.100000000000001	15.687583937537497	140	21563740.285714287	115199.99999999917	69526800.000001058	140	21563740.285714287	115199.99999999917	69526800.000001058
12	-13.500000000000002	20.78908418436129	123	19750979.186991882	115199.99999999917	60958800.000000939	123	19750979.186991882	115199.99999999917	60958800.000000939
