Mode	UseNonlinear	InitCount	InitAvgK_N_per_m	InitMinK_N_per_m	InitMaxK_N_per_m
Nonlinear	True	219	15214484.73686593	333224.92938359687	44736179.328501627

Stage	CurElev	MaxAbsUx_mm	PreActiveCount	PreAvgK_N_per_m	PreMinK_N_per_m	PreMaxK_N_per_m	PostActiveCount	PostAvgK_N_per_m	PostMinK_N_per_m	PostMaxK_N_per_m
1	4.2999999999999998	3.4182307174369463E-06	219	15214484.73686593	333224.92938359687	44736179.328501627	219	15214484.73686593	333224.92938359687	44736179.328501627
2	3.7999999999999998	27.167399354356778	216	15242430.125063911	328547.68230147468	44522333.11616569	216	9257975.9908932652	53328.154427440211	43617829.814106971
3	3.7999999999999998	27.168497005186222	216	9257975.9908932652	53328.154427440211	43617829.814106971	216	9257601.316529775	53324.587587854483	43618255.044968784
4	-0.90000000000000036	41.375316673495689	190	15162654.907016553	278552.85796394764	42431897.756105393	190	8557181.5591293443	27855.285796394764	41187256.904886633
5	-0.90000000000000036	41.375415662517625	190	8557181.5591293443	27855.285796394764	41187256.904886633	190	8556814.5104069877	27855.285796394764	41194974.058131337
6	-4.1000000000000005	48.524803168900341	173	15025018.138418593	234775.61556670931	40915187.177965492	173	8515054.940800447	23477.561556670931	39595511.366986066
7	-4.1000000000000005	48.524792286889344	173	8515054.940800447	23477.561556670931	39595511.366986066	173	8515330.8026735783	23477.561556670931	39606802.025005654
8	-7.1000000000000005	57.493045269267341	156	14981979.007322975	177926.64496356892	39412350.063852176	156	8456942.8829560857	17792.664496356894	38026292.438247755
9	-7.1000000000000005	57.493030367175734	156	8456942.8829560857	17792.664496356894	38026292.438247755	156	8456531.2956287451	17792.664496356894	38029462.238923043
10	-10.100000000000001	65.033183485426974	140	15139791.669106035	1891185.7113237227	37818231.932924174	140	7886130.1118019326	205319.38772673014	37225818.477816753
11	-10.100000000000001	65.033165282827539	140	7886130.1118019326	205319.38772673014	37225818.477816753	140	7882789.2106349301	205319.38772673014	37231473.014351703
12	-13.500000000000002	74.127811186550616	123	15183274.709577445	1794306.7524862848	35880202.721781641	123	6488622.6481009517	205319.38772673014	34650993.41845797
