EnableWater	False
WaterTableElev	-9999
土层编号	厚度	c	phi	K0	Es	m	重度	土性	水土模式
1	1.50	2.00	15.00	0.74	4.85	3.00	19.00	①1填土	自动（根据土性）
2	1.50	25.00	13.50	0.77	5.14	3.00	18.00	②粉质黏土	自动（根据土性）
3	5.50	13.00	12.00	0.79	2.81	1.50	17.50	③淤泥质粉质黏土	自动（根据土性）
4	6.80	14.00	11.00	0.81	2.46	1.50	17.00	④1淤泥质黏土	自动（根据土性）
5	2.10	2.00	28.00	0.53	11.49	6.00	18.30	④2粉砂	自动（根据土性）
6	9.10	17.00	13.00	0.78	3.51	5.00	17.40	⑤1黏土	自动（根据土性）
7	5.60	2.00	29.00	0.52	11.21	10.00	18.20	⑤2粉砂	自动（根据土性）
8	1.60	21.00	13.50	0.77	3.92	6.00	17.50	⑤3-1黏土	自动（根据土性）
9	1.80	40.00	16.00	0.72	7.07	5.00	19.40	⑤4粉质黏土	自动（根据土性）
10	16.10	2.00	30.00	0.50	16.28	14.00	19.00	⑦2粉砂	自动（根据土性）
11	10.00	32.00	15.50	0.73	7.67	5.00	19.00	⑧1粉质黏土	自动（根据土性）
12	12.80	1.00	31.00	0.49	16.78	21.00	18.90	⑨粉砂	自动（根据土性）
